,Gene
0,A1CF
1,AAK1
2,ABCA1
3,ABCA7
4,ABCA8
5,ABCB11
6,ABCB4
7,ABCB6
8,ABCC2
9,ABCC3
10,ABCF3
11,ABCG2
12,ABCG5
13,ABCG8
14,ABHD14A-ACY1
15,ABL1
16,AC004922.1
17,AC005020.2
18,AC005258.1
19,AC005837.2
20,AC008687.8
21,AC010326.2
22,AC010422.5
23,AC011448.1
24,AC013489.1
25,AC022335.1
26,AC026464.1
27,AC068234.1
28,AC068775.1
29,AC069368.1
30,AC092143.1
31,AC093899.2
32,AC097637.1
33,AC107959.5
34,AC126283.2
35,AC127029.3
36,AC138811.2
37,AC142391.1
38,ACACB
39,ACAD10
40,ACADS
41,ACADSB
42,ACAN
43,ACAT2
44,ACBD3
45,ACE
46,ACKR2
47,ACO1
48,ACOT8
49,ACRBP
50,ACSS1
51,ACTA2
52,ACTB
53,ACTG1
54,ACTG2
55,ACTN4
56,ACVR1B
57,ACVR1C
58,ACVRL1
59,ACY1
60,AD000671.2
61,ADAM15
62,ADAMTS1
63,ADAMTS13
64,ADAMTS17
65,ADAMTS19
66,ADAMTS3
67,ADAMTS4
68,ADAMTS6
69,ADAMTSL2
70,ADAMTSL4
71,ADCY6
72,ADCY7
73,ADGRE5
74,ADGRG4
75,ADH1B
76,ADORA2B
77,ADPRHL1
78,ADRA1B
79,AEBP1
80,AEN
81,AFG3L2
82,AGER
83,AGPAT4
84,AGR2
85,AHCYL1
86,AHI1
87,AHSP
88,AIFM2
89,AKAP11
90,AKAP12
91,AKIRIN2
92,AKR1B1
93,AKR7A2
94,AKTIP
95,AL049650.1
96,AL049844.3
97,AL121594.1
98,AL121753.1
99,AL162417.1
100,AL512785.2
101,AL583836.1
102,AL645922.1
103,AL662884.4
104,AL669918.1
105,ALAS1
106,ALAS2
107,ALB
108,ALDH16A1
109,ALDH1B1
110,ALDH1L1
111,ALDH5A1
112,ALDH8A1
113,ALDOB
114,ALKAL2
115,ALOX15
116,ALOXE3
117,ALPK3
118,ALPL
119,AMD1
120,AMER3
121,AMIGO1
122,AMN
123,AMOTL1
124,AMPD3
125,ANGPTL3
126,ANGPTL7
127,ANK1
128,ANKFN1
129,ANKH
130,ANKRD27
131,ANKRD42
132,ANKRD46
133,ANKRD9
134,ANKS1B
135,ANKS3
136,ANKZF1
137,ANO1
138,ANO5
139,ANP32D
140,ANTXR1
141,AP002512.3
142,AP002990.1
143,AP1S1
144,APCS
145,APEH
146,APOA1
147,APOA5
148,APOB
149,APOBEC3A
150,APOC3
151,APOE
152,APOOL
153,APP
154,AQP12A
155,AQP12B
156,AQP4
157,AR
158,ARG1
159,ARHGAP1
160,ARHGAP10
161,ARHGAP12
162,ARHGAP21
163,ARHGAP25
164,ARHGAP36
165,ARHGAP39
166,ARHGAP4
167,ARHGAP9
168,ARHGEF12
169,ARHGEF15
170,ARHGEF16
171,ARHGEF40
172,ARHGEF6
173,ARHGEF7
174,ARL6IP4
175,ARMC5
176,ARMS2
177,ARMT1
178,ARPC1B
179,ARPP19
180,ARRDC3
181,ARSA
182,ARSK
183,ASAP1
184,ASB16
185,ASB8
186,ASCL2
187,ASGR1
188,ASGR2
189,ASTN2
190,ATAD2
191,ATAD5
192,ATAT1
193,ATF6B
194,ATG13
195,ATG16L1
196,ATG4C
197,ATG4D
198,ATL1
199,ATM
200,ATOH1
201,ATP11C
202,ATP13A3
203,ATP1A1
204,ATP2A1
205,ATP2A2
206,ATP5MC1
207,ATP5MG
208,ATP6V0E1
209,ATP6V1G1
210,ATP7B
211,ATR
212,ATRIP
213,ATXN2
214,AURKAIP1
215,AVPR1B
216,AXIN1
217,AXL
218,AZGP1
219,B3GAT2
220,B4GALNT3
221,BABAM2
222,BAD
223,BAHD1
224,BAIAP2L1
225,BAIAP3
226,BAK1
227,BARX1
228,BCAM
229,BCAS2
230,BCKDHB
231,BCKDK
232,BCL2L1
233,BCL3
