#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
27	NM_001159484.1	chr1	-	153992689	154155116	153992834	154155044	38	153992689,153993014,153995075,154009971,154012243,154018932,154022125,154023121,154025541,154027505,154029895,154046068,154046288,154054227,154054769,154056814,154058088,154058564,154060539,154060941,154061585,154070272,154089420,154094934,154099997,154104011,154117724,154118670,154126322,154127310,154129276,154135813,154138105,154139801,154141430,154143445,154152735,154154841,	153992935,153993089,153995180,154010121,154012370,154019069,154022343,154023297,154025716,154027597,154030054,154046200,154046369,154054407,154054832,154056947,154058216,154058693,154060641,154061046,154061674,154070465,154089594,154095156,154100143,154104210,154117880,154118808,154126463,154127417,154129345,154135972,154138238,154139952,154141524,154143577,154152872,154155116,	0	NUP210L	cmpl	cmpl	1,1,1,1,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,2,1,1,2,0,
27	NM_207308.2	chr1	-	153992689	154155116	153992834	154155044	40	153992689,153993014,153995075,154000855,154001734,154009971,154012243,154018932,154022125,154023121,154025541,154027505,154029895,154046068,154046288,154054227,154054769,154056814,154058088,154058564,154060539,154060941,154061585,154070272,154089420,154094934,154099997,154104011,154117724,154118670,154126322,154127310,154129276,154135813,154138105,154139801,154141430,154143445,154152735,154154841,	153992935,153993089,153995180,154001060,154001985,154010121,154012370,154019069,154022343,154023297,154025716,154027597,154030054,154046200,154046369,154054407,154054832,154056947,154058216,154058693,154060641,154061046,154061674,154070465,154089594,154095156,154100143,154104210,154117880,154118808,154126463,154127417,154129345,154135972,154138238,154139952,154141524,154143577,154152872,154155116,	0	NUP210L	cmpl	cmpl	1,1,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,2,1,1,2,0,
123	NM_001350074.2	chr3	-	52545366	52685599	52548062	52681742	32	52545366,52550420,52550746,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52624896,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681694,52682091,52685435,	52548235,52550637,52550817,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589255,52603732,52609955,52615456,52617538,52624941,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52682233,52685599,	0	PBRM1	cmpl	cmpl	1,0,1,0,2,1,2,0,0,1,1,2,1,0,2,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,-1,
123	NM_001350075.2	chr3	-	52545366	52685913	52548062	52679711	30	52545366,52550420,52550746,52554723,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52685748,	52548235,52550637,52550817,52554879,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589255,52603732,52609955,52615456,52617538,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52685913,	0	PBRM1	cmpl	cmpl	1,0,1,1,0,2,1,2,0,0,1,1,2,1,0,2,0,2,1,2,2,0,0,0,0,0,2,0,0,-1,
123	NM_001350076.2	chr3	-	52545366	52685913	52548062	52681742	32	52545366,52550420,52550746,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52624896,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681694,52682091,52685748,	52548235,52550637,52550817,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589252,52603732,52609955,52615456,52617538,52624941,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52682233,52685913,	0	PBRM1	cmpl	cmpl	1,0,1,0,2,1,2,0,0,1,1,2,1,0,2,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,-1,
123	NM_001350077.2	chr3	-	52545366	52685599	52548062	52681742	33	52545366,52550420,52550746,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52624896,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681703,52682091,52684855,52685435,	52548235,52550637,52550817,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589255,52603732,52609955,52615456,52617538,52624941,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52682233,52684914,52685599,	0	PBRM1	cmpl	cmpl	1,0,1,0,2,1,2,0,0,1,1,2,1,0,2,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,-1,-1,
123	NM_001350078.2	chr3	-	52545366	52685913	52548062	52681742	32	52545366,52550420,52550746,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52624896,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681694,52682091,52685748,	52548235,52550637,52550817,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589255,52603732,52609955,52615456,52617538,52624941,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52682233,52685913,	0	PBRM1	cmpl	cmpl	1,0,1,0,2,1,2,0,0,1,1,2,1,0,2,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,-1,
123	NM_001350079.2	chr3	-	52545366	52685913	52548062	52681742	31	52545366,52550420,52550746,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681694,52682091,52685748,	52548235,52550637,52550817,52561968,52563493,52564233,52576698,52579199,52586688,52587435,52589255,52603732,52609955,52615456,52617538,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52682233,52685913,	0	PBRM1	cmpl	cmpl	1,0,1,0,2,1,2,0,0,1,1,2,1,0,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,-1,
123	NM_001366070.2	chr3	-	52545366	52685913	52548062	52681742	31	52545366,52550420,52550746,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52624896,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681694,52685748,	52548235,52550637,52550817,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589255,52603732,52609955,52615456,52617538,52624941,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52685913,	0	PBRM1	cmpl	cmpl	1,0,1,0,2,1,2,0,0,1,1,2,1,0,2,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,
123	NM_001366071.2	chr3	-	52545366	52685913	52548062	52681742	31	52545366,52550420,52550746,52558248,52561766,52563282,52564049,52576540,52579053,52586424,52587352,52589069,52603520,52609312,52615350,52617261,52627272,52628893,52634601,52641953,52643247,52644703,52648343,52651741,52658198,52662132,52668497,52678499,52679573,52681694,52685748,	52548235,52550637,52550817,52558413,52561968,52563493,52564233,52576698,52579199,52586688,52587510,52589255,52603732,52609955,52615456,52617538,52627370,52629035,52634815,52642045,52643343,52644789,52648442,52651810,52658315,52662276,52668645,52678597,52679726,52681820,52685913,	0	PBRM1	cmpl	cmpl	1,0,1,1,0,2,1,2,0,0,1,1,2,1,0,2,0,2,1,2,2,0,0,0,0,0,2,0,0,0,-1,
